team,abbr,conf,div,wins,losses,wl_pct,nrtg,payroll_2026_27,wins_per_million,efficiency_rank,payroll_rank,wins_rank,efficiency_percentile,efficiency_vs_league_avg,league_avg_wins_per_million,league_avg_payroll,quadrant
Detroit Pistons,DET,E,C,60,22,0.732,8.23,153163826,0.3917,1,29,3,100.0,0.1825,0.2092,195483441.0,"Low spend, efficient"
San Antonio Spurs,SAS,W,SW,62,20,0.756,8.27,196130556,0.3161,2,18,2,96.6,0.1069,0.2092,195483441.0,"High spend, efficient"
Oklahoma City Thunder,OKC,W,NW,64,18,0.78,11.05,214798992,0.298,3,7,1,93.1,0.0888,0.2092,195483441.0,"High spend, efficient"
Boston Celtics,BOS,E,A,56,26,0.683,8.15,201437932,0.278,4,12,4,89.7,0.0688,0.2092,195483441.0,"High spend, efficient"
Los Angeles Lakers,LAL,W,P,53,29,0.646,1.74,198883338,0.2665,5,14,6,86.2,0.0573,0.2092,195483441.0,"High spend, efficient"
Houston Rockets,HOU,W,SW,52,30,0.634,5.39,198097988,0.2625,6,15,8,82.8,0.0533,0.2092,195483441.0,"High spend, efficient"
Charlotte Hornets,CHO,E,SE,44,38,0.537,5.03,170472537,0.2581,7,26,16,79.3,0.0489,0.2092,195483441.0,"Low spend, efficient"
Denver Nuggets,DEN,W,NW,54,28,0.659,5.17,211739533,0.255,8,8,5,75.9,0.0458,0.2092,195483441.0,"High spend, efficient"
New York Knicks,NYK,E,A,53,29,0.646,6.47,217948756,0.2432,9,5,6,72.4,0.034,0.2092,195483441.0,"High spend, efficient"
Los Angeles Clippers,LAC,W,P,42,40,0.512,1.13,174798140,0.2403,10,25,18,69.0,0.0311,0.2092,195483441.0,"Low spend, efficient"
Toronto Raptors,TOR,E,A,46,36,0.561,2.58,198020399,0.2323,11,16,11,65.5,0.0231,0.2092,195483441.0,"High spend, efficient"
Cleveland Cavaliers,CLE,E,C,52,30,0.634,4.05,226017942,0.2301,12,1,8,62.1,0.0209,0.2092,195483441.0,"High spend, efficient"
Minnesota Timberwolves,MIN,W,NW,49,33,0.598,3.08,218278034,0.2245,13,3,10,58.6,0.0153,0.2092,195483441.0,"High spend, efficient"
Portland Trail Blazers,POR,W,NW,42,40,0.512,-0.17,192061727,0.2187,14,21,18,55.2,0.0095,0.2092,195483441.0,"Low spend, efficient"
Philadelphia 76ers,PHI,E,A,45,37,0.549,-0.17,207853950,0.2165,15,10,13,51.7,0.0073,0.2092,195483441.0,"High spend, efficient"
Miami Heat,MIA,E,SE,43,39,0.524,2.18,198886535,0.2162,16,13,17,48.3,0.007,0.2092,195483441.0,"High spend, efficient"
Phoenix Suns,PHO,W,P,45,37,0.549,1.42,215794243,0.2085,17,6,13,44.8,-0.0007,0.2092,195483441.0,"High spend, inefficient"
Atlanta Hawks,ATL,E,SE,46,36,0.561,2.36,221278253,0.2079,18,2,11,41.4,-0.0013,0.2092,195483441.0,"High spend, inefficient"
Orlando Magic,ORL,E,SE,45,37,0.549,0.56,218125071,0.2063,19,4,13,37.9,-0.0029,0.2092,195483441.0,"High spend, inefficient"
Chicago Bulls,CHI,E,C,31,51,0.378,-5.14,161545080,0.1919,20,28,22,34.5,-0.0173,0.2092,195483441.0,"Low spend, inefficient"
Golden State Warriors,GSW,W,P,37,45,0.451,-0.55,210390143,0.1759,21,9,20,31.0,-0.0333,0.2092,195483441.0,"High spend, inefficient"
Milwaukee Bucks,MIL,E,C,32,50,0.39,-6.49,193765071,0.1651,22,19,21,27.6,-0.0441,0.2092,195483441.0,"Low spend, inefficient"
Memphis Grizzlies,MEM,W,SW,25,57,0.305,-5.9,167772446,0.149,23,27,25,24.1,-0.0602,0.2092,195483441.0,"Low spend, inefficient"
New Orleans Pelicans,NOP,W,SW,26,56,0.317,-4.65,192090918,0.1354,24,20,23,20.7,-0.0738,0.2092,195483441.0,"Low spend, inefficient"
Brooklyn Nets,BRK,E,A,20,62,0.244,-10.27,150836846,0.1326,25,30,28,17.2,-0.0766,0.2092,195483441.0,"Low spend, inefficient"
Dallas Mavericks,DAL,W,SW,26,56,0.317,-5.43,197866094,0.1314,26,17,23,13.8,-0.0778,0.2092,195483441.0,"High spend, inefficient"
Utah Jazz,UTA,W,NW,22,60,0.268,-8.21,176915598,0.1244,27,24,26,10.3,-0.0848,0.2092,195483441.0,"Low spend, inefficient"
Sacramento Kings,SAC,W,P,22,60,0.268,-10.07,189346486,0.1162,28,22,26,6.9,-0.093,0.2092,195483441.0,"Low spend, inefficient"
Indiana Pacers,IND,E,C,19,63,0.232,-7.96,203715395,0.0933,29,11,29,3.4,-0.1159,0.2092,195483441.0,"High spend, inefficient"
Washington Wizards,WAS,E,SE,17,65,0.207,-11.84,186471414,0.0912,30,23,30,0.0,-0.118,0.2092,195483441.0,"Low spend, inefficient"
