team,abbr,payroll_2026_27
Cleveland Cavaliers,CLE,226017942
Atlanta Hawks,ATL,221278253
Minnesota Timberwolves,MIN,218278034
Orlando Magic,ORL,218125071
New York Knicks,NYK,217948756
Phoenix Suns,PHO,215794243
Oklahoma City Thunder,OKC,214798992
Denver Nuggets,DEN,211739533
Golden State Warriors,GSW,210390143
Philadelphia 76ers,PHI,207853950
Indiana Pacers,IND,203715395
Boston Celtics,BOS,201437932
Miami Heat,MIA,198886535
Los Angeles Lakers,LAL,198883338
Houston Rockets,HOU,198097988
Toronto Raptors,TOR,198020399
Dallas Mavericks,DAL,197866094
San Antonio Spurs,SAS,196130556
Milwaukee Bucks,MIL,193765071
New Orleans Pelicans,NOP,192090918
Portland Trail Blazers,POR,192061727
Sacramento Kings,SAC,189346486
Washington Wizards,WAS,186471414
Utah Jazz,UTA,176915598
Los Angeles Clippers,LAC,174798140
Charlotte Hornets,CHO,170472537
Memphis Grizzlies,MEM,167772446
Chicago Bulls,CHI,161545080
Detroit Pistons,DET,153163826
Brooklyn Nets,BRK,150836846
